loan_id,funded_amount,funded_date,duration years,duration months,10 yr treasury index date funded,interest rate,payments,total past payments,loan balance,property value,purpose,firstname,middlename,lastname,employment length,quarter,months remain,year
LL0000076,790000,2012-04-27,20,240,1.96,0.03359,4524.65,92,373732.18,930250,boat,Devin,Knox,Walters,6,2012Q2,148,2012
LL0000151,1720000,2014-10-14,15,180,2.21,0.03508,12302.74,62,957230.24,1995250,boat,Rhett,Felix,Calderon,10,2014Q4,118,2014
LL0000161,3720000,2014-06-07,15,180,2.6,0.03896,27322.92,66,1916687.35,3881700,boat,Jax,Sean,Richards,1,2014Q2,114,2014
LL0000175,1079000,2012-02-23,20,240,1.99,0.03389,6196.4,94,496538.75,1402450,boat,Nicholas,Jeremy,Priest,17,2012Q1,146,2012
LL0000178,2028000,2016-04-01,20,240,1.79,0.03188,11439.05,45,1513242.57,2216500,boat,Riley,Matteo,Hoffman,5,2016Q2,195,2016
LL0000195,612000,2017-10-26,20,240,2.4609,0.0386,3663.61,26,516746.19,711850,boat,Arabella,Marley,Castro,3,2017Q4,214,2017
LL0000206,630000,2017-12-07,15,180,2.37,0.03669,4556.23,24,520650.57,667750,boat,Leonardo,Jasper,Burdick,1,2017Q4,156,2017
LL0000234,795000,2017-10-06,20,240,2.3589,0.03758,4716.77,26,672363.91,895850,boat,Henry,Jackson,Thao,11,2017Q4,214,2017
LL0000250,2004000,2019-10-12,15,180,1.76,0.03058,13895.23,2,1976209.55,2068050,boat,Amelia,Harper,Dickerson,5,2019Q4,178,2019
LL0000311,4752000,2019-09-20,20,240,1.74,0.03135,26676.78,3,4671969.67,4937150,boat,Sergio,Gideon,Benson,1,2019Q3,237,2019
LL0000319,1790000,2018-12-11,20,240,2.89,0.04288,11120.61,12,1656552.66,1869300,boat,Martin,Prince,Willey,11,2018Q4,228,2018
LL0000327,1890000,2016-06-13,20,240,1.62,0.03018,10498.93,42,1449044.81,1954850,boat,Raven,Danna,Robles,13,2016Q2,198,2016
LL0000400,1310000,2017-01-08,20,240,2.4193,0.03818,7813.28,35,1036535.37,1364400,boat,Jesse,Archer,Fairchild,5,2017Q1,205,2017
LL0000527,5577000,2015-07-14,20,240,2.41,0.03804,33222.32,53,3816216.9,5718600,boat,Brody,Omar,Stoddard,12,2015Q3,187,2015
LL0000544,1640000,2018-12-10,15,180,2.85,0.04148,12252.87,12,1492965.52,1719350,boat,Emiliano,Landen,Oh,10,2018Q4,168,2018
LL0000549,728000,2017-12-19,20,240,2.46,0.03859,4357.64,24,623416.73,825150,boat,Charlotte,Emily,Becker,13,2017Q4,216,2017
LL0000558,1368000,2015-12-23,20,240,2.27,0.03669,8053.16,48,981448.18,1561500,boat,Brady,Tucker,Kramer,13,2015Q4,192,2015
LL0000568,1380000,2018-05-12,20,240,2.97,0.04369,8633.28,19,1215967.68,1589950,boat,Zoey,Helen,Gonzalez,4,2018Q2,221,2018
LL0000569,1290000,2012-09-17,20,240,1.85,0.03249,7316.17,87,653493.12,1603100,boat,Lylah,Emily,Parrish,4,2012Q3,153,2012
LL0000578,638000,2014-04-20,15,180,2.73,0.04029,4728.49,68,316462.94,802100,boat,Cody,Jorge,Patrick,13,2014Q2,112,2014
LL0000603,1180000,2018-03-03,15,180,2.86,0.04159,8822.64,21,994724.64,1273450,boat,Nina,Alison,Barnett,2,2018Q1,159,2018
LL0000612,1100000,2014-05-19,20,240,2.54,0.03939,6630.48,67,655757.87,1382650,boat,Joel,Cristian,Satterfield,12,2014Q2,173,2014
LL0000617,1020500,2014-09-09,15,180,2.5,0.03799,7446.14,63,551393.34,1177500,boat,Alejandro,Marcus,Strickland,10,2014Q3,117,2014
LL0000619,1730000,2013-11-13,20,240,2.75,0.04148,10618.87,73,954822.78,1962000,boat,Fabian,Grady,Marquez,14,2013Q4,167,2013
LL0000625,688000,2016-12-07,20,240,2.3401,0.03739,4075.13,36,541295.17,864000,boat,Renata,Amelia,Kane,10,2016Q4,204,2016
LL0000638,496000,2015-02-11,20,240,2.0,0.034,2851.18,58,330631.67,645250,boat,Trenton,Cohen,Graves,8,2015Q1,182,2015
LL0000642,1670000,2015-07-05,20,240,2.4,0.03798,9943.0,53,1143020.89,1812050,boat,Jaelyn,Demi,Nash,12,2015Q3,187,2015
LL0000651,1850000,2012-08-28,15,180,1.64,0.02938,12720.67,88,730581.2,2164100,boat,Hadassah,Harper,Farrell,1,2012Q3,92,2012
LL0000703,808500,2014-08-25,15,180,2.39,0.03689,5855.16,64,433770.0,966250,boat,Evangeline,Shelby,Schultz,13,2014Q3,116,2014
LL0000706,1460000,2016-01-22,15,180,2.07,0.03369,10343.61,47,973850.11,1592000,boat,Arthur,Archer,Bates,9,2016Q1,133,2016
LL0000749,676500,2012-05-19,20,240,1.71,0.03109,3788.87,91,331712.54,815650,boat,Emmett,Chance,Maier,14,2012Q2,149,2012
LL0000842,1524000,2018-11-16,15,180,3.08,0.04378,11563.7,13,1373671.91,1604550,boat,Sadie,Mia,Collins,13,2018Q4,167,2018
LL0000888,1932000,2019-08-16,15,180,1.55,0.02848,13201.26,4,1879194.98,1938900,boat,Francisco,Judah,Ochoa,3,2019Q3,176,2019
LL0000898,1560000,2012-10-19,20,240,1.79,0.03188,8799.27,86,803262.59,1871500,boat,Alessandra,Lilah,Holland,14,2012Q4,154,2012
LL0000913,1180000,2018-04-28,20,240,2.96,0.04359,7375.75,20,1032484.97,1330650,boat,Killian,Jaylen,Mann,14,2018Q2,220,2018
LL0000966,1540000,2019-10-19,20,240,1.76,0.03158,8663.12,2,1522673.76,1723700,boat,Milo,Drake,Augustine,12,2019Q4,238,2019
LL0001011,1450000,2015-06-04,15,180,2.31,0.03609,10443.59,54,886046.39,1533600,boat,Xavier,Ayden,Powell,6,2015Q2,126,2015
LL0001097,1670000,2012-07-10,20,240,1.53,0.02928,9201.7,89,851048.36,1806550,boat,Fabian,Nash,Parrish,5,2012Q3,151,2012
LL0001110,1190000,2015-05-12,10,120,2.28,0.03479,11755.72,55,543435.65,1454750,boat,Maxwell,Jorge,Wakefield,4,2015Q2,65,2015
LL0001113,799500,2015-10-07,20,240,2.08,0.03479,4628.16,50,568092.24,936850,boat,Regina,Michaela,Cervantes,15,2015Q4,190,2015
LL0001115,3840000,2017-04-10,20,240,2.3661,0.03762,22790.9,32,3110691.22,3949800,boat,Beckett,Reed,Loyd,4,2017Q2,208,2017
LL0001131,1200000,2018-10-10,20,240,3.22,0.04619,7669.09,14,1092632.72,1402400,boat,Isabella,Ariella,Jones,18,2018Q4,226,2018
LL0001165,1650000,2018-09-27,15,180,3.06,0.04358,12502.97,15,1462455.39,1733050,boat,Gabriel,Benjamin,Nagy,18,2018Q3,165,2018
LL0001203,1344000,2018-07-02,20,240,2.87,0.04269,8336.14,17,1202285.65,1431400,boat,Kailey,Alanna,Hoover,14,2018Q3,223,2018
LL0001248,1330000,2016-01-08,15,180,2.13,0.03429,9461.63,47,885303.25,1522700,boat,Isaac,Oliver,Grubbs,15,2016Q1,133,2016
LL0001319,1120000,2014-02-20,20,240,2.76,0.04159,6881.18,70,638317.24,1347050,boat,Jaxon,Hunter,Roberts,8,2014Q1,170,2014
LL0001335,3672000,2019-06-10,15,180,2.15,0.03446,26153.22,6,3515080.68,3862250,boat,Francisco,River,Oliver,12,2019Q2,174,2019
LL0001346,1452000,2012-09-18,15,180,1.82,0.03119,10110.56,87,572381.62,1645050,boat,Jameson,Ashton,Simpson,11,2012Q3,93,2012
LL0001352,877500,2016-02-10,15,180,1.71,0.03009,6063.65,46,598571.97,948550,boat,Kylee,Evangeline,Lynch,13,2016Q1,134,2016
LL0001355,1860000,2016-06-15,20,240,1.6,0.02998,10313.65,42,1426826.57,2104750,boat,Josephine,Delilah,Wells,3,2016Q2,198,2016
LL0001399,3192000,2013-02-26,20,240,1.88,0.03277,18148.64,82,1703811.82,3497000,boat,Damian,Maxwell,Hayes,10,2013Q1,158,2013
LL0001434,640000,2016-06-13,15,180,1.62,0.02919,4394.83,42,455417.01,884850,boat,Montserrat,Elizabeth,Liu,1,2016Q2,138,2016
LL0001449,1180000,2017-12-23,20,240,2.48,0.03879,7075.56,24,1010186.63,1216950,boat,Charlie,Omar,Shaffer,11,2017Q4,216,2017
LL0001457,5148000,2016-03-28,15,180,1.89,0.03185,36010.98,45,3527506.07,5336700,boat,Elijah,Felix,Doyle,17,2016Q1,135,2016
LL0001458,1692000,2018-09-24,15,180,3.08,0.04378,12838.44,15,1499423.43,1715200,boat,Harlow,Brittany,Sherman,16,2018Q3,165,2018
LL0001538,803000,2018-04-13,20,240,2.82,0.04219,4959.19,20,703816.3,954400,boat,Adelina,Kaelyn,Serrano,15,2018Q2,220,2018
LL0001556,1200000,2017-09-21,15,180,2.2765,0.03575,8622.86,27,967182.9,1301600,boat,Travis,Orion,Yancey,18,2017Q3,153,2017
LL0001599,2232000,2017-06-15,15,180,2.1637,0.03461,15913.47,30,1754596.04,2338500,boat,Elliot,Mark,Bauer,1,2017Q2,150,2017
LL0001605,1956000,2012-09-23,15,180,1.77,0.03068,13571.84,87,775250.05,2148800,boat,Bristol,Melany,Barton,6,2012Q3,93,2012
LL0001634,3927000,2017-06-28,15,180,2.2279,0.03524,28119.74,30,3083407.7,4092850,boat,Aileen,Adelina,Shepherd,11,2017Q2,150,2017
LL0001656,1750000,2017-10-03,20,240,2.3229,0.03721,10349.15,26,1480922.01,1851000,boat,Lacey,Karla,Conner,3,2017Q4,214,2017
LL0001718,1632000,2015-04-23,20,240,1.96,0.03358,9346.29,56,1108607.6,1837700,boat,Diego,Josue,Newton,3,2015Q2,184,2015
LL0000724,6270000,2013-04-08,15,180,1.76,0.03054,43462.49,80,2793000.53,6572950,investment property,Edwin,Walter,Gregory,8,2013Q2,100,2013
LL0000064,6138000,2013-09-25,30,360,2.63,0.04224,30101.92,75,3880356.26,6432450,investment property,Damian,Andres,Worthington,12,2013Q3,285,2013
LL0000818,6237000,2019-06-16,15,180,2.09,0.03384,44232.78,6,5971603.31,6426950,commerical property,Mariana,Amber,Ortega,16,2019Q2,174,2019
LL0000938,6237000,2014-03-18,30,360,2.68,0.04274,30769.99,69,4113870.97,6402750,investment property,Kaylie,Liana,Gallegos,8,2014Q1,291,2014
LL0000753,6270000,2017-02-09,30,360,2.3948,0.03989,29894.19,34,5253597.52,6382800,home,Joseph,Michael,Smith,9,2017Q1,326,2017
LL0000911,6171000,2016-07-27,30,360,1.52,0.03114,26398.13,41,5088676.69,6353650,home,Mia,Madison,Contreras,3,2016Q3,319,2016
LL0000786,6072000,2013-07-22,30,360,2.5,0.04094,29318.67,77,3814462.04,6309700,home,Aaron,Jack,Jefferson,12,2013Q3,283,2013
LL0001678,6171000,2015-05-21,30,360,2.19,0.03784,28698.05,55,4592607.25,6255300,commerical property,Aliyah,Presley,Meyer,10,2015Q2,305,2015
LL0000467,6171000,2015-11-19,30,360,2.24,0.03834,28873.8,49,4756183.9,6246200,home,Titus,Fernando,Wall,7,2015Q4,311,2015
LL0001260,6105000,2018-09-21,30,360,3.07,0.04664,31530.87,15,5632036.89,6188350,commerical property,Kaelyn,Madilynn,Olsen,8,2018Q3,345,2018
LL0001210,6039000,2012-02-20,30,360,2.01,0.03604,27469.61,94,3456856.83,6182600,commerical property,Brayden,Isaiah,Bond,1,2012Q1,266,2012
LL0000080,5940000,2012-09-14,30,360,1.88,0.03474,26587.12,87,3626920.62,6133250,commerical property,Christian,Isaac,Lombardo,7,2012Q3,273,2012
LL0000922,6039000,2016-05-15,15,180,1.71,0.03004,41715.84,43,4245218.71,6105300,commerical property,Max,Cole,Gibson,14,2016Q2,137,2016
LL0000826,5808000,2013-02-20,15,180,2.02,0.03314,40991.9,82,2446663.95,5993300,investment property,Makayla,Brielle,Vasquez,18,2013Q1,98,2013
LL0000265,5907000,2018-10-24,30,360,3.1,0.04694,30614.64,14,5478395.09,5988700,home,Abby,Amari,Miranda,8,2018Q4,346,2018
LL0000200,5775000,2016-04-06,30,360,1.76,0.03354,25463.97,44,4654585.18,5963250,investment property,Kai,Bryson,Avila,4,2016Q2,316,2016
LL0001206,5643000,2012-08-21,30,360,1.8,0.03394,25006.88,88,3442394.89,5897450,commerical property,Brielle,Kinsley,Harrison,13,2012Q3,272,2012
LL0000664,5808000,2018-10-14,30,360,3.15,0.04744,30276.28,14,5384132.14,5890200,investment property,Rachel,Julianna,Fox,15,2018Q4,346,2018
LL0001280,5841000,2018-12-09,30,360,2.85,0.04444,29401.45,12,5488182.55,5860400,commerical property,Walker,Erik,Miles,8,2018Q4,348,2018
LL0001471,5709000,2012-08-10,30,360,1.65,0.03244,24827.13,88,3524212.31,5844000,commerical property,Dallas,Messiah,Weiss,10,2012Q3,272,2012
LL0001408,5709000,2016-02-28,30,360,1.76,0.03354,25172.96,46,4551044.0,5839150,commerical property,Liberty,Helena,Whitaker,13,2016Q1,314,2016
LL0000668,5544000,2015-08-11,30,360,2.15,0.03744,25656.26,52,4209874.65,5804200,investment property,Zariah,Imani,Drake,5,2015Q3,308,2015
LL0001333,5610000,2017-04-07,30,360,2.3822,0.03977,26708.66,32,4755322.75,5779950,investment property,Leon,Maximiliano,Allison,2,2017Q2,328,2017
LL0001687,5544000,2019-01-20,30,360,2.79,0.04384,27709.81,11,5239192.06,5741300,commerical property,Easton,Lincoln,Whitmore,12,2019Q1,349,2019
LL0001460,5478000,2012-06-26,30,360,1.66,0.03255,23855.64,90,3330992.64,5735250,investment property,Miguel,Edward,Stone,16,2012Q2,270,2012
LL0000509,5511000,2015-03-16,30,360,2.1,0.03694,25347.5,57,4066192.69,5718600,commerical property,Anthony,Aiden,Corey,4,2015Q1,303,2015
LL0000249,5511000,2018-09-19,30,360,3.08,0.04674,28496.07,15,5083558.94,5714450,investment property,Dalton,Cruz,Vazquez,9,2018Q3,345,2018
LL0001500,5544000,2013-05-27,30,360,2.01,0.03604,25218.0,79,3551777.92,5664500,commerical property,Ryleigh,Kate,Cunningham,11,2013Q2,281,2013
LL0001445,5412000,2016-03-20,30,360,1.88,0.03475,24226.84,45,4321792.39,5661100,investment property,Donovan,Pablo,Edmondson,14,2016Q1,315,2016
LL0001157,5412000,2015-05-08,30,360,2.16,0.03755,25079.17,55,4032645.48,5616950,investment property,Abigail,Isabella,Christian,11,2015Q2,305,2015
LL0000971,5478000,2012-07-09,30,360,1.53,0.03125,23466.41,89,3389489.75,5614600,home,Erick,Romeo,Marlow,2,2012Q3,271,2012
LL0000472,5478000,2017-02-01,30,360,2.4699,0.04064,26355.33,35,4555563.32,5591200,home,Leonardo,Elias,Patterson,8,2017Q1,325,2017
LL0000532,5445000,2012-10-14,30,360,1.69,0.03285,23801.7,86,3398053.42,5576750,investment property,Gabrielle,Sienna,Berry,7,2012Q4,274,2012
